2022-02-03 00:34:49,081 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-03-09 15:41:52,974 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C7E5DC71-234A-C6AE-D97B-5A53CBBF8C13
2022-03-09 15:42:11,874 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:42:14,389 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 15:42:15,471 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 64191BCD-821E-52CD-3B70-71B477DBD746
2022-03-09 15:42:21,262 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:42:24,325 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 15:42:42,769 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C7E5DC71-234A-C6AE-D97B-5A53CBBF8C13
2022-03-09 15:44:14,426 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-03-09 15:44:14,427 | MainThread   | [INFO    ] | <module>            |: info
2022-03-09 15:44:14,428 | MainThread   | [WARNING ] | <module>            |: warning
2022-03-09 15:44:14,429 | MainThread   | [ERROR   ] | <module>            |: error
2022-03-09 15:44:14,431 | MainThread   | [CRITICAL] | <module>            |: critical
2022-03-09 15:44:17,636 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2022-03-09 15:44:17,637 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-10.16-x86_64-i386-64bit
2022-03-09 15:44:17,638 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:44:20,350 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 15:45:18,208 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:45:30,282 | MainThread   | [ERROR   ] | _connect            |: 
2022-03-09 15:45:31,288 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-03-09 15:45:31,290 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:45:34,685 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 15:47:39,683 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 4D545522-0FEB-C754-82D4-12405B57AA82
2022-03-09 15:47:44,127 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:47:46,890 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-09 15:47:48,156 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 15:48:20,201 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 4D545522-0FEB-C754-82D4-12405B57AA82
2022-03-09 15:48:29,037 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:49:09,063 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:49:23,146 | MainThread   | [ERROR   ] | _connect            |: 
2022-03-09 15:49:24,149 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-03-09 15:49:24,150 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:49:50,343 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:49:53,757 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 15:50:21,360 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 4D545522-0FEB-C754-82D4-12405B57AA82
2022-03-09 15:50:43,223 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:52:25,594 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:52:28,511 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 15:54:25,992 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-09 15:54:57,606 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:55:15,135 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:55:49,628 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:55:52,204 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 15:57:22,700 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-09 15:57:35,300 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:57:37,804 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 15:59:37,999 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-09 15:59:50,336 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 15:59:52,907 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 16:03:16,712 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-09 16:10:53,791 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 16:10:56,347 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 16:11:05,514 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 42759617-121A-9AAD-A91F-B37472DB3DE7
2022-03-09 16:11:25,804 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 16:11:28,346 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 16:12:05,456 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-03-09 16:12:17,520 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 42759617-121A-9AAD-A91F-B37472DB3DE7
2022-03-09 16:12:53,515 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 16:12:56,146 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 16:14:27,454 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-09 16:14:27,461 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-09 16:14:27,467 | MainThread   | [WARNING ] | exit_handler        |: Task <Task pending name='Task-81' coro=<BLEAsyncDevice._disconnect() running at /Users/roninsharma/Desktop/Cornell/ECE 5960/Fast-Robots/Lab6/ble/base_ble.py:94>> got Future <Future pending> attached to a different loop
2022-03-09 16:14:36,587 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2022-03-09 16:14:36,588 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-10.16-x86_64-i386-64bit
2022-03-09 16:14:36,589 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 16:14:39,061 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 16:16:04,682 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-09 16:16:13,628 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 16:16:25,705 | MainThread   | [ERROR   ] | _connect            |: 
2022-03-09 16:16:26,712 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-03-09 16:16:26,714 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-09 16:16:29,393 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-09 16:16:49,649 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-03-09 16:17:02,588 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-09 16:33:38,627 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-09 16:33:38,635 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-09 16:33:38,636 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-03-09 16:33:43,754 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-09 16:33:43,756 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-09 16:33:43,757 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
