2022-05-20 02:19:06,599 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-05-20 02:20:32,133 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 02:20:32,133 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 02:20:32,134 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 02:20:34,996 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 02:22:58,254 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-05-20 02:24:57,465 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 02:24:57,466 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 02:24:57,466 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 02:25:00,399 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 02:28:07,876 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-05-20 02:29:25,463 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 02:29:25,463 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 02:29:25,463 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 02:29:28,432 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 02:36:24,596 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-05-20 02:37:27,359 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 02:37:27,360 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 02:37:27,362 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 02:37:30,367 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 02:38:55,654 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 02:38:55,655 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 02:38:55,657 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 02:38:58,486 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 02:40:14,242 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-05-20 02:45:50,259 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 02:45:50,260 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 02:45:50,260 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 02:45:53,044 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 02:47:12,998 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 02:47:27,586 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 02:47:27,587 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 02:47:27,587 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 02:47:30,535 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 02:47:47,450 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 02:47:59,751 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 02:48:02,768 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 02:48:08,747 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 02:48:14,602 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
