2022-04-24 02:42:23,525 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.788, 0.459, 3737.484)
2022-04-24 02:42:23,557 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.305, -0.914, -10.000)
2022-04-24 02:42:23,558 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (1.484, 1.374, 3747.484)
2022-04-24 02:42:23,577 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:25,930 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:26,094 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (10, 6, 16)
2022-04-24 02:42:26,101 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (7, 2, 5) with prob = 0.0782951
2022-04-24 02:42:26,114 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.872, 1.351, 3817.036)
2022-04-24 02:42:26,129 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:30,816 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:30,825 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (10, 6, 16)
2022-04-24 02:42:30,830 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (10, 6, 16) with prob = 1.0
2022-04-24 02:42:30,842 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.0004372945685680653
2022-04-24 02:42:30,866 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.481, 0.741, 4107.036)
2022-04-24 02:42:30,874 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.524, 0.610, 150.000)
2022-04-24 02:42:30,889 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.043, 0.131, 3957.036)
2022-04-24 02:42:30,897 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:35,738 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:35,759 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (8, 6, 2)
2022-04-24 02:42:35,781 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (9, 8, 11) with prob = 0.2576668
2022-04-24 02:42:35,808 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.373, -0.366, 4130.360)
2022-04-24 02:42:35,835 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:39,852 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:39,864 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (8, 6, 2)
2022-04-24 02:42:39,866 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (8, 7, 2) with prob = 1.0
2022-04-24 02:42:39,868 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 4.3843733225522324e-05
2022-04-24 02:42:39,880 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.846, 0.854, 4540.360)
