2022-03-25 19:42:56,521 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:43:11,858 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:45:48,357 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:55:38,341 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:55:56,900 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:55:59,604 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 20:08:29,838 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 20:08:55,178 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 20:08:57,982 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 20:09:42,774 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 20:09:52,494 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-25 20:09:52,498 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-25 20:09:52,501 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-03-25 20:10:06,223 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2022-03-25 20:10:06,223 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-10.16-x86_64-i386-64bit
2022-03-25 20:10:06,223 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 20:10:43,684 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 20:10:46,399 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 20:11:35,437 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 20:13:18,054 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 20:13:20,741 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 20:14:55,005 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 20:15:30,421 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 20:15:33,159 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 20:16:16,479 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 20:18:31,237 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
